,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
178,-3.8,36.76319707,-0.691659776,-0.353415243,0.02255588,-0.197108476,-0.076267958,-1.381521832,-1.045075019,-0.691659776
179,-4.9,35.01567908,-0.853314257,-0.738404523,0.045350657,-0.168823936,-0.042053366,-2.43204401,-1.591718779,-0.853314257
180,-3.9,37.32723511,-0.716524257,-0.34332903,0.056404617,-0.221225396,-0.071177413,-1.73147756,-1.059853287,-0.716524257
181,-5.1,35.99355389,-0.813453557,-1.777136566,-0.009949337,-0.125246614,-0.100495276,-1.314669828,-2.590590122,-0.813453557
182,-3.8,37.69226724,-0.588098633,-1.526078068,-0.00813246,-0.17487209,-0.253936107,3.763105495,-2.114176701,-0.588098633
183,-4.6,29.54905926,-0.718589447,0.292733797,0.05670335,-0.139126082,-0.130867033,-0.5120293,-0.42585565,-0.718589447
184,-6,41.02469949,-0.977691359,-1.435137464,0.016906485,-0.192285554,0.109125976,-7.43139118,-2.412828822,-0.977691359
185,-4.5,33.87723103,-1.0817508,0.104755272,0.08453644,-0.183626491,0.131567845,-7.994866388,-0.976995528,-1.0817508
186,-3.4,34.26068631,-1.014559741,-0.192172692,0.064836896,-0.191305433,0.033923429,-3.704382689,-1.206732432,-1.014559741
187,-4.4,35.12834925,-1.156435323,0.1774978,0.056920769,-0.17568579,0.114672549,-8.840598678,-0.978937524,-1.156435323
188,-3.8,32.99491869,-0.984275428,-0.121463488,0.024919529,-0.142806602,0.004196576,-5.594231247,-1.105738916,-0.984275428
189,-3.7,30.10407952,-0.910178013,-0.209492433,0.059761992,-0.128258896,-0.017524451,-4.093302937,-1.119670446,-0.910178013
190,-3.8,38.32871856,-0.949896681,-1.39098303,0.01164776,-0.182327237,-0.037007318,-2.746666163,-2.340879711,-0.949896681
191,-3.1,33.74211828,-0.944293857,0.341769079,0.04771337,-0.187918263,-0.06229233,-2.433813835,-0.602524778,-0.944293857
192,-2.2,37.5260137,-1.415156322,-1.496213633,0.022623074,-0.179188832,-0.033880487,-2.859112926,-2.911369954,-1.415156322
193,-4,40.57288202,-0.823754056,-1.875241696,-0.00562301,-0.19245921,-0.056654124,-3.258183055,-2.698995752,-0.823754056
194,-3.9,37.50318623,-1.056421889,-0.756553357,0.017162899,-0.180979622,0.075066105,-6.345394006,-1.812975246,-1.056421889
195,-3.9,27.62013322,-0.760340054,0.336918518,0.036359585,-0.102359056,-0.115664295,-1.992779459,-0.423421536,-0.760340054
196,-4.2,40.00752447,-1.069102388,-0.741110798,-0.012675058,-0.18232938,0.118842675,-8.812431112,-1.810213186,-1.069102388
197,-3.9,36.83220954,-0.78985432,-0.276426638,0.049601713,-0.205217893,0.001958641,-5.408626892,-1.066280958,-0.78985432
198,-4.4,38.53891282,-0.970144389,-0.753585221,0.039255886,-0.186960952,0.051102241,-7.850640279,-1.72372961,-0.970144389
199,-3.8,37.45307579,-0.895877018,-0.830030627,0.039739713,-0.198758714,-0.100979201,-0.995283739,-1.725907645,-0.895877018
200,-3.9,37.69550926,-0.946484174,-0.789386832,0.019423682,-0.186431665,-0.004531141,-3.834477306,-1.735871006,-0.946484174
201,-3.4,36.23376301,-0.978981972,-1.439936028,0.052825593,-0.188807733,0.015807826,-3.289850972,-2.418918001,-0.978981972
202,-3.5,34.24076937,-0.587913275,-1.114474878,0.038798003,-0.172631947,-0.132448549,0.700628843,-1.702388153,-0.587913275
203,-4.3,38.33885235,-0.807168233,-1.263494382,0.052984174,-0.207850772,0.027554532,-4.210973091,-2.070662615,-0.807168233
204,-4.5,39.29321167,-0.894103223,-0.451338014,0.037257541,-0.220717355,0.040031711,-5.416255136,-1.345441237,-0.894103223
205,-4.7,36.86346641,-1.224159437,-0.038221156,0.05407443,-0.181122892,0.241890162,-13.21414611,-1.262380592,-1.224159437
206,-4,38.4809428,-0.837105963,-1.253282186,0.014904673,-0.187892589,-0.103656736,-0.931983875,-2.090388149,-0.837105963
